id,x,y,z,status
120,4.9360504,7.386,-3.9420002,Ansiedad
121,4.85895,7.359,-4.03305,Ansiedad
122,4.905,7.3350005,-4.0729504,Ansiedad
123,4.9120502,7.31895,-4.0729504,Ansiedad
124,4.914,7.24905,-4.0300503,Ansiedad
125,4.9759502,7.24695,-3.97005,Ansiedad
126,4.94805,7.24695,-4.038,Ansiedad
127,4.905,7.2130504,-4.1329503,Ansiedad
128,5.0820003,7.0740004,-4.21995,Ansiedad
129,5.09595,7.0290003,-4.071,Ansiedad
130,5.2180505,7.0339503,-3.8719501,Ansiedad
131,4.99305,7.17495,-4.2000003,Ansiedad
132,5.1990004,7.0000505,-3.7570503,Ansiedad
133,5.2180505,7.017,-3.8029501,Ansiedad
134,5.3260503,7.01205,-3.9439502,Ansiedad
135,5.355,7.017,-4.0420504,Ansiedad
136,5.2660503,7.0909505,-4.143,Ansiedad
137,4.9620004,7.0669503,-4.263,Ansiedad
138,5.0550003,7.0909505,-4.2460504,Ansiedad
139,4.92105,7.0620003,-4.2769504,Ansiedad
140,4.893,7.0579505,-4.3489504,Ansiedad
141,4.9669504,7.11705,-4.0729504,Ansiedad
142,4.9159503,7.0720506,-4.2340503,Ansiedad
143,4.97895,7.1340003,-4.12605,Ansiedad
144,4.97205,7.11,-4.24305,Ansiedad
145,4.95195,7.0860004,-4.3180504,Ansiedad
146,5.0070004,7.0740004,-4.63605,Ansiedad
147,4.842,7.1320505,-4.39905,Ansiedad
148,5.01,7.0960503,-4.51905,Ansiedad
149,4.926,7.06995,-4.48995,Ansiedad
150,4.761,7.1250005,-4.5,Ansiedad
151,4.8229504,7.0530005,-4.66995,Ansiedad
152,5.5750504,7.2439504,-3.25395,Ansiedad
153,4.9360504,7.01205,-4.8109503,Ansiedad
154,4.87095,6.9859505,-4.45905,Ansiedad
155,4.9759502,6.9810004,-4.60305,Ansiedad
156,5.2489505,6.98295,-4.56405,Ansiedad
157,4.905,6.9019504,-4.6459503,Ansiedad
158,5.33295,6.8830504,-4.4160004,Ansiedad
159,5.1919503,6.852,-4.2120004,Ansiedad
160,5.3689504,6.9619503,-4.43295,Ansiedad
161,5.1780005,6.8040004,-4.18095,Ansiedad
162,5.3760004,6.852,-4.1719503,Ansiedad
163,5.4030004,6.8610005,-4.09695,Ansiedad
164,5.3359504,6.87795,-4.16895,Ansiedad
